Country,City,Company,Sector,Sponsorship_Confirmed,Visa_Pathway,Approx_TC_Senior,Careers_URL,Notes,Last_Verified
Germany,Berlin,Zalando,E-commerce,Yes,EU Blue Card,€90k–€140k,https://jobs.zalando.com/en/jobs/,Largest tech employer in Berlin; ML/Platform/Logistics/Frontend orgs,2026-01
Germany,Berlin,N26,Fintech,Yes,EU Blue Card,€85k–€130k,https://n26.com/en-eu/careers,Mobile-first bank; payments/security/risk/infra,2026-01
Germany,Berlin,Delivery Hero,Marketplaces,Yes,EU Blue Card,€80k–€130k,https://careers.deliveryhero.com/,Operates in 70+ countries; one of the largest tech employers in DE,2026-01
Germany,Berlin,HelloFresh,Marketplaces,Yes,EU Blue Card,€80k–€125k,https://careers.hellofresh.com/global/en/germany,Data-heavy supply chain & consumer apps,2026-01
Germany,Berlin,SoundCloud,Audio,Yes,EU Blue Card,€80k–€125k,https://soundcloud.com/jobs,Audio streaming with 300M+ tracks,2026-01
Germany,Berlin,Contentful,SaaS,Yes,EU Blue Card,€85k–€135k,https://www.contentful.com/careers/,Headless CMS used by 30% of Fortune 500,2026-01
Germany,Berlin,Miro,Productivity,Yes,EU Blue Card,€85k–€135k,https://miro.com/careers/,Visual collaboration; 60M+ users,2026-01
Germany,Berlin,Trade Republic,Fintech,Yes,EU Blue Card,€90k–€140k,https://traderepublic.com/careers,Mobile broker; rapid scaling,2026-01
Germany,Berlin,Babbel,Education,Yes,EU Blue Card,€75k–€115k,https://careers.babbel.com/,Language learning,2026-01
Germany,Berlin,GetYourGuide,Travel,Yes,EU Blue Card,€80k–€125k,https://careers.getyourguide.com/,Travel experiences platform,2026-01
Germany,Munich,Personio,HR Tech,Yes,EU Blue Card,€90k–€140k,https://www.personio.com/about-personio/careers/,One of DE's most valuable startups (~$8.5B),2026-01
Germany,Munich,Celonis,Process Mining,Yes,EU Blue Card,€95k–€150k,https://www.celonis.com/careers/,Decacorn process mining,2026-01
Germany,Munich,NavVis,3D Mapping,Yes,EU Blue Card,€85k–€135k,https://www.navvis.com/company/careers,Indoor spatial intelligence; computer vision,2026-01
Germany,Munich,Konux,IoT,Yes,EU Blue Card,€80k–€130k,https://www.konux.com/careers/,Industrial IoT for railways,2026-01
Germany,Munich,BMW Group,Automotive,Yes,EU Blue Card,€85k–€145k,https://www.bmwgroup.jobs/de/en.html,Software roles in autonomous driving and connected car,2026-01
Germany,Munich,Siemens,Industrial,Yes,EU Blue Card,€85k–€140k,https://jobs.siemens.com/careers,IoT/cloud/industrial automation,2026-01
Germany,Walldorf,SAP,Enterprise Software,Yes,EU Blue Card,€85k–€140k,https://jobs.sap.com/,Largest tech company in Germany; 100k+ employees,2026-01
Germany,Hamburg,ABOUT YOU,E-commerce,Yes,EU Blue Card,€80k–€125k,https://corporate.aboutyou.de/en/career,Fashion e-commerce + B2B tech,2026-01
Germany,Hamburg,awork,SaaS,Yes,EU Blue Card,€75k–€115k,https://www.awork.com/jobs/,Work management for agencies and teams,2026-01
Netherlands,Amsterdam,Booking.com,Travel,Yes,Kennismigrant + 30% ruling,€80k–€135k,https://jobs.booking.com/,World's largest travel platform; 1k+ engineers,2026-01
Netherlands,Amsterdam,Adyen,Payments,Yes,Kennismigrant + 30% ruling,€90k–€150k,https://careers.adyen.com/vacancies/,Global payments; processes for Netflix/Uber/Spotify,2026-01
Netherlands,Amsterdam,Mollie,Payments,Yes,Kennismigrant + 30% ruling,€85k–€140k,https://jobs.mollie.com/,EU payments infrastructure for SMBs,2026-01
Netherlands,Amsterdam,Optiver,HFT/Trading,Yes,Kennismigrant + 30% ruling,€150k–€350k+,https://optiver.com/working-at-optiver/career-opportunities/,Highest engineering salaries in EU; C++/FPGA/networking,2026-01
Netherlands,Amsterdam,IMC Trading,HFT/Trading,Yes,Kennismigrant + 30% ruling,€140k–€320k+,https://www.imc.com/eu/career,Quant/trading systems,2026-01
Netherlands,Amsterdam,Flow Traders,HFT/Trading,Yes,Kennismigrant + 30% ruling,€130k–€280k+,https://www.flowtraders.com/careers,Tech in ETF market making,2026-01
Netherlands,Amsterdam,Catawiki,Marketplace,Yes,Kennismigrant + 30% ruling,€75k–€115k,https://catawiki.careers/,Online marketplace for special objects,2026-01
Netherlands,Amsterdam,Bird (formerly MessageBird),Communications,Yes,Kennismigrant + 30% ruling,€80k–€130k,https://www.messagebird.com/careers,Omnichannel comms; SMS/WhatsApp/voice APIs,2026-01
Netherlands,Amsterdam,Databricks,Data/AI,Yes,Kennismigrant + 30% ruling,€100k–€180k+,https://www.databricks.com/company/careers/,Major EU engineering hub for unified analytics,2026-01
Netherlands,Amsterdam,Picnic,E-commerce/Logistics,Yes,Kennismigrant + 30% ruling,€75k–€115k,https://picnic.app/nl/over-ons/jobs,Online supermarket; fast-growing,2026-01
Netherlands,Amsterdam,Bunq,Fintech,Yes,Kennismigrant + 30% ruling,€80k–€125k,https://www.bunq.com/careers,Mobile-first European bank,2026-01
Netherlands,Eindhoven,ASML,Semiconductors,Yes,Kennismigrant + 30% ruling,€85k–€150k+,https://www.asml.com/en/careers,One of the most valuable EU companies; chip lithography,2026-01
United Kingdom,London,Revolut,Fintech,Yes,Skilled Worker,£90k–£165k,https://www.revolut.com/careers/engineering/,40M+ customers; aggressive international hiring,2026-01
United Kingdom,London,Cloudflare,Infrastructure,Yes,Skilled Worker,£100k–£200k,https://www.cloudflare.com/careers/jobs/,CDN/security/zero trust/Workers,2026-01
United Kingdom,London,Snyk,Security,Yes,Skilled Worker,£95k–£175k,https://snyk.io/careers/engineering/,Developer security platform,2026-01
United Kingdom,London,Monzo,Fintech,Yes,Skilled Worker,£90k–£165k,https://monzo.com/careers/,Digital bank; 9M+ customers; transparent hiring,2026-01
United Kingdom,London,Spotify,Audio,Yes,Skilled Worker,£90k–£170k,https://www.lifeatspotify.com/jobs,Subscriptions and core infra in London,2026-01
United Kingdom,London,Stripe,Payments,Yes,Skilled Worker,£100k–£200k,https://stripe.com/jobs/search,Backend engineering and API platform,2026-01
United Kingdom,London,Wise,Fintech,Yes,Skilled Worker,£90k–£165k,https://wise.jobs/,International money transfer,2026-01
United Kingdom,London,Form3,Fintech,Yes,Skilled Worker,£95k–£170k,https://www.form3.tech/careers,Cloud-native payments; remote UK; Go/Kubernetes,2026-01
United Kingdom,London,Mistral AI,AI/ML,Yes,Skilled Worker,£100k–£250k+,https://mistral.ai/careers/,Frontier LLMs; London office,2026-01
United Kingdom,London,Robin AI,AI/ML,Yes,Skilled Worker,£90k–£160k,https://www.robinai.com/open-positions,Contract review and legal tech; NLP/LLMs,2026-01
United Kingdom,London,DeepMind,AI/ML,Yes,Skilled Worker,£120k–£300k+,https://www.deepmind.com/careers,Research and applied AI,2026-01
Switzerland,Zurich,Google,Big Tech,Yes,B-permit,CHF 180k–400k+,https://careers.google.com/locations/zurich/,One of the largest non-US Google offices,2026-01
Switzerland,Zurich,Meta,Big Tech,Yes,B-permit,CHF 170k–380k+,https://www.metacareers.com/,EU growth office,2026-01
Switzerland,Zurich,Microsoft,Big Tech,Yes,B-permit,CHF 150k–350k+,https://careers.microsoft.com/,Multiple Swiss offices,2026-01
Switzerland,Zurich,Disney Streaming,Streaming,Yes,B-permit,CHF 160k–320k+,https://jobs.disneycareers.com/,Disney+ engineering hub,2026-01
Switzerland,Zurich,UBS,Banking,Yes,B-permit,CHF 130k–280k+,https://www.ubs.com/global/en/careers,Tech and quant roles,2026-01
Switzerland,Geneva,Logitech,Hardware/Software,Yes,B-permit,CHF 140k–280k+,https://jobs.logitech.com/,Consumer electronics + software,2026-01
Switzerland,Basel,Roche,Pharma/Data,Yes,B-permit,CHF 130k–270k+,https://careers.roche.com/,Bioinformatics, ML for healthcare,2026-01
United States,Seattle,Amazon,Big Tech,Yes,H-1B (lottery),$160k–$350k+,https://amazon.jobs/,Largest H-1B sponsor; ~15.5k LCAs,2026-01
United States,Seattle,Microsoft,Big Tech,Yes,H-1B (lottery),$170k–$400k+,https://careers.microsoft.com/,Top-5 H-1B sponsor,2026-01
United States,Mountain View,Google,Big Tech,Yes,H-1B (lottery),$190k–$500k+,https://careers.google.com/,Top-5 H-1B sponsor,2026-01
United States,Cupertino,Apple,Big Tech,Yes,H-1B (lottery),$200k–$500k+,https://www.apple.com/careers/,Among highest US engineering salaries,2026-01
United States,Menlo Park,Meta,Big Tech,Yes,H-1B (lottery),$200k–$500k+,https://www.metacareers.com/,Top-10 H-1B sponsor,2026-01
United States,New York,JPMorgan Chase,Banking/Tech,Yes,H-1B (lottery),$160k–$320k+,https://careers.jpmorgan.com/,Massive in-house tech org,2026-01
United States,New York,Goldman Sachs,Banking/Tech,Yes,H-1B (lottery),$170k–$330k+,https://www.goldmansachs.com/careers/,Tech hires in eng/quant,2026-01
United States,San Francisco,Salesforce,SaaS,Yes,H-1B (lottery),$180k–$400k+,https://careers.salesforce.com/,Top SaaS sponsor,2026-01
Ireland,Dublin,Stripe,Payments,Yes,Critical Skills Employment Permit,€100k–€180k+,https://stripe.com/jobs/search,EU HQ; major backend engineering,2026-01
Ireland,Dublin,Google,Big Tech,Yes,Critical Skills Employment Permit,€110k–€200k+,https://careers.google.com/,EMEA HQ,2026-01
Ireland,Dublin,Meta,Big Tech,Yes,Critical Skills Employment Permit,€105k–€200k+,https://www.metacareers.com/,EMEA HQ,2026-01
Ireland,Dublin,Workday,SaaS,Yes,Critical Skills Employment Permit,€95k–€175k,https://www.workday.com/en-us/company/careers.html,Workforce HR platform,2026-01
Ireland,Dublin,Intercom,SaaS,Yes,Critical Skills Employment Permit,€90k–€170k,https://www.intercom.com/careers,Customer messaging,2026-01
Sweden,Stockholm,Spotify,Audio,Yes,Work permit,SEK 850k–1.4m,https://www.lifeatspotify.com/jobs,Stockholm HQ; ML/backend/infra,2026-01
Sweden,Stockholm,Klarna,Fintech,Yes,Work permit,SEK 800k–1.4m,https://www.klarna.com/careers/,BNPL/payments/risk,2026-01
Sweden,Stockholm,King (Activision),Gaming,Yes,Work permit,SEK 800k–1.3m,https://careers.king.com/,Mobile games (Candy Crush) – owned by Microsoft,2026-01
Denmark,Copenhagen,Pleo,Fintech,Yes,Pay Limit Scheme,DKK 700k–1.1m,https://www.pleo.io/en/careers/jobs,Smart spend management,2026-01
Denmark,Copenhagen,Trustpilot,Reviews/Tech,Yes,Pay Limit Scheme,DKK 650k–1.0m,https://careers.trustpilot.com/,Reviews platform,2026-01
Estonia,Tallinn,Bolt,Mobility,Yes,D-visa + work permit,€70k–€130k,https://bolt.eu/en/careers/,Ride-hail/food delivery; HQ in Tallinn,2026-01
Estonia,Tallinn,Wise,Fintech,Yes,D-visa + work permit,€70k–€130k,https://wise.jobs/,Major engineering hub,2026-01
Estonia,Tallinn,Pipedrive,SaaS,Yes,D-visa + work permit,€65k–€115k,https://www.pipedrive.com/en/careers,Sales CRM,2026-01
Estonia,Tallinn,Wolt,Delivery,Yes,D-visa + work permit,€70k–€125k,https://careers.wolt.com/,Now part of DoorDash; Kotlin backend,2026-01
Spain,Barcelona,TravelPerk,Travel,Yes,Highly Qualified Professional,€60k–€100k,https://www.travelperk.com/careers/,Business travel platform,2026-01
Spain,Barcelona,Glovo,Delivery,Yes,Highly Qualified Professional,€55k–€95k,https://about.glovoapp.com/en/careers/,On-demand delivery,2026-01
Spain,Barcelona,Typeform,SaaS,Yes,Highly Qualified Professional,€55k–€95k,https://www.typeform.com/careers/,Forms/surveys,2026-01
Portugal,Lisbon,Cloudflare,Infrastructure,Yes,Tech Visa,€60k–€110k,https://www.cloudflare.com/careers/jobs/,Distributed systems engineering office,2026-01
Portugal,Lisbon,Mollie,Payments,Yes,Tech Visa,€55k–€105k,https://jobs.mollie.com/,Full-stack engineering with EU relocation support,2026-01
Portugal,Lisbon,Talkdesk,SaaS,Yes,Tech Visa,€55k–€100k,https://www.talkdesk.com/careers/,Cloud contact center,2026-01
France,Paris,Mistral AI,AI/ML,Yes,Talent Passport,€85k–€200k+,https://mistral.ai/careers/,Frontier LLMs HQ,2026-01
France,Paris,Datadog,Observability,Yes,Talent Passport,€90k–€170k,https://careers.datadoghq.com/,Cloud monitoring; key engineering hub,2026-01
France,Paris,Doctolib,HealthTech,Yes,Talent Passport,€70k–€130k,https://careers.doctolib.com/,Healthcare booking,2026-01
France,Paris,BlaBlaCar,Mobility,Yes,Talent Passport,€70k–€125k,https://www.blablacar.fr/jobs,Long-distance carpooling,2026-01
Canada,Toronto,Shopify,E-commerce,Yes,Global Talent Stream,CAD 130k–250k,https://www.shopify.com/careers,Major Canadian tech hub,2026-01
Canada,Vancouver,AbCellera,Biotech,Yes,Global Talent Stream,CAD 120k–230k,https://www.abcellera.com/careers,AI-powered antibody discovery,2026-01
Canada,Toronto,Wealthsimple,Fintech,Yes,Global Talent Stream,CAD 130k–230k,https://www.wealthsimple.com/en-ca/about/work,Investing/banking; SF founders,2026-01
Australia,Sydney,Atlassian,SaaS,Yes,Subclass 482,AUD 160k–280k,https://www.atlassian.com/company/careers,Jira/Confluence; major hirer,2026-01
Australia,Sydney,Canva,Design SaaS,Yes,Subclass 482,AUD 150k–270k,https://www.canva.com/careers/,Design platform,2026-01
Australia,Melbourne,SafetyCulture,SaaS,Yes,Subclass 482,AUD 140k–250k,https://safetyculture.com/careers/,Workplace safety platform,2026-01
Remote-Global,Remote,GitLab,DevOps,Yes,EOR (no traditional visa),$120k–$280k,https://about.gitlab.com/jobs/,All-remote across 60+ countries,2026-01
Remote-Global,Remote,Automattic,Software,Yes,EOR (no traditional visa),$110k–$250k,https://automattic.com/work-with-us/,WordPress.com; 90+ countries,2026-01
Remote-Global,Remote,HashiCorp,Infrastructure,Yes,EOR (no traditional visa),$140k–$300k,https://www.hashicorp.com/careers,Now part of IBM; remote-first,2026-01
Remote-Global,Remote,Vercel,Frontend Infrastructure,Yes,EOR (no traditional visa),$140k–$300k,https://vercel.com/careers,Next.js company; remote-friendly,2026-01
